id,Country,Actor1,Actor2,Actor3,Genre1,Genre2,Genre3,Plot,Poster,Runtime,Title,imdbRating,totalSeasons
10,USA,EvanRachelWood,JeffreyWright,EdHarris,Drama,Mystery,Sci-Fi,Set at the intersection of the near future and the reimagined past; explore a world in which every human appetite can be indulged without consequence.,https://m.media-amazon.com/images/M/MV5BYjQwODU3ZDgtNmNmNC00YWRmLTk0MmYtYTdhYzY0M2I0Mzk1XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,62,Westworld,8.7,3
11,USA,FreddieHighmore,NicholasGonzalez,AntoniaThomas,Drama,,,Shaun Murphy; a young surgeon with autism and Savant syndrome; is recruited into the surgical unit of a prestigious hospital.,https://m.media-amazon.com/images/M/MV5BMmUyNTQwYjItMzc5Ny00MDg4LWIxMTMtNDBmNjQ0MmIwNjNmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,41,The Good Doctor,8.2,3
12,Ireland; Canada,KatherynWinnick,GustafSkarsgÃ¥rd,AlexanderLudwig,Action,Adventure,Drama,Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok; a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean.,https://m.media-amazon.com/images/M/MV5BNjIzZjljZmQtOGNiYi00YmY2LWE1MGYtN2VlMmEyZDBlMzRmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,44,Vikings,8.6,6
13,USA,PennBadgley,AmbyrChilders,VictoriaPedretti,Crime,Drama,Romance,A dangerously charming; intensely obsessive young man goes to extreme measures to insert himself into the lives of those he is transfixed by.,https://m.media-amazon.com/images/M/MV5BZDJjOTg4OWYtYWIyOS00MjQ3LTg5ZDktYzU2N2RkNmYzNjZlXkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_SX300.jpg,45,You,7.8,2
14,UK; USA,DafneKeen,KitConnor,AmirWilson,Adventure,Drama,Family,A young girl is destined to liberate her world from the grip of the Magisterium which represses people's ties to magic and their animal spirits known as daemons.,https://m.media-amazon.com/images/M/MV5BN2RjNWQzNTQtMmY4Yi00Yzk5LWFiODItY2EyZjBmNjZmYmI2XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,60,His Dark Materials,8,1
15,USA,GabrielChavarria,DerekLuke,HannahEmilyAnderson,Action,Drama,Horror,Set in an altered United States; several unrelated people discover how far they will go to survive a night where all crime is legal for 12 hours.,https://m.media-amazon.com/images/M/MV5BMjk1YWE0OWYtMzYwMi00MGZhLTkyMGMtMzU1YjRlZjE1OWQyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,42,The Purge,6.4,2
16,USA; Poland,HenryCavill,FreyaAllan,AnyaChalotra,Action,Adventure,Drama,Geralt of Rivia; a solitary monster hunter; struggles to find his place in a world where people often prove more wicked than beasts.,https://m.media-amazon.com/images/M/MV5BOGE4MmVjMDgtMzIzYy00NjEwLWJlODMtMDI1MGY2ZDlhMzE2XkEyXkFqcGdeQXVyMzY0MTE3NzU@._V1_SX300.jpg,60,The Witcher,8.3,2
17,USA,ReeseWitherspoon,NicoleKidman,ShaileneWoodley,Crime,Drama,Mystery,The apparently perfect lives of upper-class mothers; at a prestigious elementary school; unravel to the point of murder when a single-mother moves to their quaint Californian beach town.,https://m.media-amazon.com/images/M/MV5BZmNjYzdjN2ItOTBlNy00Mjc0LWE4YmMtYTQ4ZjQzNTMyNDc4XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,60,Big Little Lies,8.5,2
18,USA,DominicWest,JohnDoman,DeirdreLovejoy,Crime,Drama,Thriller,The Baltimore drug scene; as seen through the eyes of drug dealers and law enforcement.,https://m.media-amazon.com/images/M/MV5BZmY5ZDMxODEtNWIwOS00NjdkLTkyMjktNWRjMDhmYjJjN2RmXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg,59,The Wire,9.3,5
19,USA,PeterKrause,MichaelC.Hall,FrancesConroy,Comedy,Drama,,A chronicle of the lives of a dysfunctional family who run an independent funeral home in Los Angeles.,https://m.media-amazon.com/images/M/MV5BMTQzODk5N2UtYjE4ZC00YWM1LWJkMGYtYmY2NjNjMjIzZDRmXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_SX300.jpg,55,Six Feet Under,8.7,5
20,USA,BillPaxton,JeanneTripplehorn,ChloÃ«Sevigny,Drama,,,A polygamist and his relationship with his three wives.,https://m.media-amazon.com/images/M/MV5BMTkxMjEzNTE0Ml5BMl5BanBnXkFtZTcwNTM3MDAzNA@@._V1_SX300.jpg,60,Big Love,7.5,5
21,USA,SteveBuscemi,KellyMacdonald,MichaelShannon,Crime,Drama,History,An Atlantic City politician plays both sides of the law by conspiring with gangsters during the Prohibition era.,https://m.media-amazon.com/images/M/MV5BYTYxNzc5ZmYtODcyNi00ZWUwLWExNWUtY2Y0YTlhZDBlMGU1XkEyXkFqcGdeQXVyNzQ1ODk3MTQ@._V1_SX300.jpg,55,Boardwalk Empire,8.5,5
22,USA,TimRobbins,HollyHunter,DanielZovatto,Comedy,Drama,Fantasy,A dark dramedy about a progressive Portlandian family made up of husband; wife; three adopted children from Liberia; Vietnam and Colombia and one biological daughter who find their sanity tested and values challenged in 2018 America.,https://m.media-amazon.com/images/M/MV5BMTk2NDIwOTg4M15BMl5BanBnXkFtZTgwOTAxMzc1NDM@._V1_SX300.jpg,60,Here and Now,6.8,1
23,USA,GabrielByrne,,,Drama,,,A psychotherapist questions his abilities and gets help by reuniting with his old therapist; whom he has not seen for ten years.,https://m.media-amazon.com/images/M/MV5BNjM4NzMzMDI1NF5BMl5BanBnXkFtZTcwOTE2MTMwNA@@._V1_SX300.jpg,25,In Treatment,8.3,3
24,USA,RebeccaDeMornay,GreysonFletcher,WillieGarson,Drama,,,In Imperial Beach; California; the dysfunctional Yost family intersects with two new arrivals to the community: a dim-but-wealthy surfing enthusiast and man spurned by the Yosts years ago.,https://m.media-amazon.com/images/M/MV5BMTMyNTM2MDYyMF5BMl5BanBnXkFtZTcwOTg4NDA1MQ@@._V1_SX300.jpg,55,John from Cincinnati,7.1,1
25,UK,ClaesBang,DollyWells,MorfyddClark,Drama,Horror,,In 1897 Transylvania; the blood-drinking Count draws his plans against Victorian London.,https://m.media-amazon.com/images/M/MV5BNTBmNzM4ZGMtMTE3OC00Mjc4LWE3OGEtYzA3ZmQ1MGJkNjMyXkEyXkFqcGdeQXVyNDk3ODk4OQ@@._V1_SX300.jpg,270,Dracula,6.8,1
26,South Korea; USA,Hye-JunKim,DoonaBae,GregChun,Action,Drama,Horror,While strange rumors about their ill king grip a kingdom; the crown prince becomes their only hope against a mysterious plague overtaking the land.,https://m.media-amazon.com/images/M/MV5BMmMzYzE5NzctZGZmZC00MmVkLTllMWUtZDY3YzIzYWEyMTIxXkEyXkFqcGdeQXVyNTI2MzI4NTU@._V1_SX300.jpg,45,Kingdom,8.2,2
27,USA,LaurenAmbrose,TobyKebbell,NellTigerFree,Drama,Horror,Thriller,A Philadelphia couple is in mourning after an unspeakable tragedy creates a rift in their marriage and opens the door for a mysterious force to enter their home.,https://m.media-amazon.com/images/M/MV5BNjQ2MzIzMGMtN2I4Yi00NzdkLWE1NTAtMTI0NWZiNzAwMDM5XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,30,Servant,7.7,2
28,USA,OctaviaSpencer,LizzyCaplan,MichaelBeach,Crime,Drama,Thriller,A true-crime podcaster tries to solve the mystery surrounding a family patriarch's death.,https://m.media-amazon.com/images/M/MV5BOGZiYWEzYmYtYWZkNy00MjAyLWI5MGYtNmVhYWI5MjIwZjgxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,45,Truth Be Told,7.1,1
29,USA,ReginaKing,YahyaAbdul-MateenII,TomMison,Action,Drama,Mystery,Set in an alternate history where masked vigilantes are treated as outlaws; Watchmen embraces the nostalgia of the original groundbreaking graphic novel of the same name; while attempting to break new ground of its own.,https://m.media-amazon.com/images/M/MV5BYjhhZDE3NjgtMjkzNC00NzI3LWJhOTItMWQ5ZjljODA5NWNkXkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_SX300.jpg,60,Watchmen,8.1,1
30,USA,WalterArcher,VictorAvila,AlbertoAyala,Documentary,Crime,,A Netflix Original Series documenting various stories about exposing the greed; corruption; and crime spreading through the global economy.,https://m.media-amazon.com/images/M/MV5BZWVmYjJlZjgtMzU4YS00MDQxLWJmYjQtNTcyMjJkMDNmOTZkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,60,Dirty Money,8.1,2
31,UK; USA,DominicPurcell,WentworthMiller,RobertKnepper,Action,Crime,Drama,Due to a political conspiracy; an innocent man is sent to death row and his only hope is his brother; who makes it his mission to deliberately get himself sent to the same prison in order to break the both of them out; from the inside.,https://m.media-amazon.com/images/M/MV5BMTg3NTkwNzAxOF5BMl5BanBnXkFtZTcwMjM1NjI5MQ@@._V1_SX300.jpg,44,Prison Break,8.3,5
32,Spain,AnaFernÃ¡ndez,BlancaSuÃ¡rez,YonGonzÃ¡lez,Drama,,,Set in the 1920s; this is the story of four women from different backgrounds newly hired as operators for a phone company.,https://m.media-amazon.com/images/M/MV5BYmRhMWM4NzQtNTE1OS00NWMxLTgzYzYtMTllZTcyY2NjZDgxXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,50,Cable Girls,7.7,6
33,USA,DavidHarbour,FinnWolfhard,MillieBobbyBrown,Drama,Fantasy,Horror,When a young boy disappears; his mother; a police chief and his friends must confront terrifying supernatural forces in order to get him back.,https://m.media-amazon.com/images/M/MV5BZGExYjQzNTQtNGNhMi00YmY1LTlhY2MtMTRjODg3MjU4YTAyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,51,Stranger Things,8.8,3
34,USA,AmyAdams,PatriciaClarkson,ChrisMessina,Crime,Drama,Mystery,A reporter confronts the psychological demons from her past when she returns to her hometown to cover a violent murder.,https://m.media-amazon.com/images/M/MV5BZDk2NzY1MGQtYTA2MS00ZDcxLWJiMzYtNWRmMGU3ZjQ0YTFjXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,421,Sharp Objects,8.2,1
35,UK; USA,BenedictCumberbatch,JenniferJasonLeigh,HugoWeaving,Drama,,,Based on the Patrick Melrose Novels by Edward St. Aubyn.,https://m.media-amazon.com/images/M/MV5BMjIwNzk4OTQ1NV5BMl5BanBnXkFtZTgwMjE0NDMyNTM@._V1_SX300.jpg,60,Patrick Melrose,8.1,1
36,UK,MichaelC.Hall,AmyJames-Kelly,AmandaAbbington,Drama,Mystery,,After his teenage daughter goes missing; a widowed surgeon begins uncovering dark secrets of the people closest to him.,https://m.media-amazon.com/images/M/MV5BNTRjNTA4YmEtNmU5ZC00YjFjLTk0YzMtNmFhZDI0ZGYxNmI5XkEyXkFqcGdeQXVyMTk3NDAwMzI@._V1_SX300.jpg,60,Safe,7.3,1
37,Denmark; USA,AlbaAugust,LucasLynggaardTÃ¸nnesen,MikkelBoeFÃ¸lsgaard,Sci-Fi,Thriller,,After a brutal virus wipes out most of the population; two young siblings embark on a perilous search for safety.,https://m.media-amazon.com/images/M/MV5BMGMwMDgxODgtYzJiMC00MWRhLTliODktOTc1NzZiNmM5NGNjXkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_SX300.jpg,45,The Rain,6.3,1
38,USA,Clare-HopeAshitey,MichaelMosley,DavidLyons,Crime,Drama,,Tensions run high between African American citizens and Caucasian cops in Jersey City when a teenage African American boy is critically injured by a cop.,https://m.media-amazon.com/images/M/MV5BNzZiN2E4NTAtNWJlOC00ODA0LTgzODQtNGZkM2IxOWMxNDE0XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,60,Seven Seconds,7.7,1
39,USA,BillPullman,DohnNorwood,JessicaBiel,Crime,Drama,Mystery,Anthology series that examines how and why ordinary people commit brutal crimes.,https://m.media-amazon.com/images/M/MV5BODIwYmE0MGQtYmNhMS00ZjM4LWJkMzAtNjg5YzI4MzZjMjg3XkEyXkFqcGdeQXVyNjU2ODM5MjU@._V1_SX300.jpg,45,The Sinner,8,3
40,UK; USA,MackenzieCrook,DavidMorrissey,NikolajLieKaas,Action,Drama,Fantasy,In 43 AD; the Roman Army returns to crush the Celtic heart of Britannia.,https://m.media-amazon.com/images/M/MV5BOTI3OGY1MGQtNTdlMS00Yzg5LTk1MDItMzRmNDhlMTFmYmM4XkEyXkFqcGdeQXVyOTA0ODk2NTc@._V1_SX300.jpg,60,Britannia,6.7,2
41,USA,JenniferJasonLeigh,KeirGilchrist,BrigetteLundy-Paine,Comedy,Drama,,Sam; an 18-year-old on the autism spectrum; decides it's time to find a girlfriend; a journey that sets Sam's mom on her own life-changing path as her son seeks more independence.,https://m.media-amazon.com/images/M/MV5BYjg1ZmQ0ZDktMjNhZS00MDJjLTllZTItMmIyYTBkYjM2MzQzXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,30,Atypical,8.3,3
42,USA,MichaelSadler,DylanMinnette,ChristianNavarro,Drama,Mystery,,Follows teenager Clay Jensen; in his quest to uncover the story behind his classmate and crush; Hannah; and her decision to end her life.,https://m.media-amazon.com/images/M/MV5BMTA2OTQxNzQtMDQ5OC00NDczLWFhYjEtN2UyMmIwNGZlZDM4XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,60,13 Reasons Why,7.8,3
43,USA,ChristineBaranski,RoseLeslie,CushJumbo,Crime,Drama,,When Diane Lockhart's life savings are lost; she must start from scratch at a new firm.,https://m.media-amazon.com/images/M/MV5BODc2MDE2NTEyNl5BMl5BanBnXkFtZTgwMjIwNjUzNzM@._V1_SX300.jpg,45,The Good Fight,8.3,3
44,UK,nan,,,Documentary,Crime,,Ride along for an uncompromising look at the lives of those who sell; use and wage a war on drugs in the U.S. and Mexico.,https://m.media-amazon.com/images/M/MV5BYmQ3YzNhYjktZDcwMy00ZTI4LWI0ODEtZWJhZDcxNjA0MGFiXkEyXkFqcGdeQXVyNjgwMTgyODE@._V1_SX300.jpg,45,Dope,7.3,3
45,USA,JonBernthal,AmberRoseRevah,BenBarnes,Action,Adventure,Crime,"After the murder of his family; Marine veteran Frank Castle becomes the vigilante known as ""The Punisher;"" with only one goal in mind: to avenge them.",https://m.media-amazon.com/images/M/MV5BMTExODIwOTUxNzFeQTJeQWpwZ15BbWU4MDE5MDA0MTcz._V1_SX300.jpg,53,The Punisher,8.5,2
46,Canada,KimCoates,LouisFerreira,SharonTaylor,Crime,Drama,,A dramatization of the life and death of Montreal mob boss Vito Rizzuto.,https://m.media-amazon.com/images/M/MV5BMzRmNzZkMmMtMzU5YS00ZThhLWE2YzItZTNhNGMwMmI1MjQyXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,47,Bad Blood,7.5,2
47,USA,SamanthaColley,SethGabel,AntonioBanderas,Biography,Drama,History,The life stories of history's greatest minds. From their days as young adults to their final years we see their discoveries; loves; relationships; causes; flaws and genius.,https://m.media-amazon.com/images/M/MV5BNTkwYzVjZjEtODI2NS00ZDk5LTliNWItMzJiYzYwM2RiNjNhXkEyXkFqcGdeQXVyNzg5MzIyOA@@._V1_SX300.jpg,43,Genius,8.4,2
48,USA,JackO'Connell,MichelleDockery,ScootMcNairy,Drama,Western,,In the 1880s American West murderous outlaw gang leader Frank Griffin hunts for ex-protege Roy Goode. Frank's chase leads him to La Belle; New Mexico - a town inhabited; after a mining disaster; almost entirely by women.,https://m.media-amazon.com/images/M/MV5BMTY0NzkxNDcxNF5BMl5BanBnXkFtZTgwOTI5ODM5MzI@._V1_SX300.jpg,60,Godless,8.3,1
49,UK; USA,ClaireFoy,OliviaColman,MattSmith,Drama,History,,Follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the twentieth century.,https://m.media-amazon.com/images/M/MV5BNGI1ODkzZDQtZTYxYS00MTg1LWFlY2QtMTM5MGNhNWRhYmVmXkEyXkFqcGdeQXVyNjU2ODM5MjU@._V1_SX300.jpg,58,The Crown,8.7,4
50,,DominicCooper,JosephGilgun,RuthNegga,Adventure,Drama,Fantasy,After a supernatural event at his church; a preacher enlists the help of a vampire and his ex to find God.,https://m.media-amazon.com/images/M/MV5BNzIyMDY4NmUtMGRhZS00ZjE4LWI5YWYtYTYxMzcwZWNlZWRkXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,60,Preacher,8,4
51,USA,TomEllis,LaurenGerman,KevinAlejandro,Crime,Drama,Fantasy,Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.,https://m.media-amazon.com/images/M/MV5BZTA2NTBkYWUtMzM4Zi00YzhlLTk4NWItY2U1ODczNDMyNDAzXkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_SX300.jpg,42,Lucifer,8.2,4
52,USA,RyanPhillippe,ShantelVanSanten,CynthiaAddai-Robinson,Action,Drama,,A conspiracy thriller that follows the journey of Bob Lee Swagger; a highly-decorated veteran who is coaxed back into action to prevent a plot to kill the President.,https://m.media-amazon.com/images/M/MV5BNmViMGQzMzMtNzgyYy00YzA4LWIzYzAtYmU5OTA4YWJjZWNjXkEyXkFqcGdeQXVyNjgyMjQ2NjM@._V1_SX300.jpg,60,Shooter,7.5,3
53,USA,SarahPaulson,AnnaleighAshford,SterlingK.Brown,Biography,Crime,Drama,An anthology series centered around America's most notorious crimes and criminals.,https://m.media-amazon.com/images/M/MV5BNzc2MzJmM2ItMjgzYy00MjgxLTljYjctZjJhYzM1ODFhMzU0XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,42,American Crime Story,8.4,4
54,USA,JamesFranco,SarahGadon,GeorgeMacKay,Drama,Mystery,Sci-Fi,A high school teacher travels back in time to prevent John F. Kennedy's assassination.,https://m.media-amazon.com/images/M/MV5BMTk1NjE5MjUwM15BMl5BanBnXkFtZTgwODk3NTk2OTE@._V1_SX300.jpg,60,11.22.63,8.2,1
55,USA,GiovanniRibisi,MarinIreland,ShaneMcRae,Crime,Drama,,A con man on the run from a vicious gangster takes cover by assuming the identity of his prison cellmate; Pete; reuniting with his estranged family; that threatens to drag him into a world just as dangerous as the one he's escaping.,https://m.media-amazon.com/images/M/MV5BMTc2OTExNDE3MF5BMl5BanBnXkFtZTgwMzk2MjU5NzM@._V1_SX300.jpg,60,Sneaky Pete,8.2,3
56,USA,KrystenRitter,RachaelTaylor,EkaDarville,Action,Crime,Drama,Following the tragic end of her brief superhero career; Jessica Jones tries to rebuild her life as a private investigator; dealing with cases involving people with remarkable abilities in New York City.,https://m.media-amazon.com/images/M/MV5BM2QyNmZkNTYtZWQyZi00NDhhLWEzMDItYmIzY2U4ZWVmOWNhXkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_SX300.jpg,56,Jessica Jones,8,3
57,USA; Colombia; Mexico,PedroPascal,WagnerMoura,BoydHolbrook,Biography,Crime,Drama,A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar; as well as the many other drug kingpins who plagued the country through the years.,https://m.media-amazon.com/images/M/MV5BNmFjODU3YzgtMGUwNC00ZGI3LWFkZjQtMjkxZDc3NmQ1MzcyXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg,49,Narcos,8.8,3
58,USA,GrantGustin,CandicePatton,DaniellePanabaker,Action,Adventure,Drama,After being struck by lightning; Barry Allen wakes up from his coma to discover he's been given the power of super speed; becoming the Flash; fighting crime in Central City.,https://m.media-amazon.com/images/M/MV5BNTM4YThiMzktMDRlNi00NzAyLWI1YmQtNTdkMTNiN2Q0NzU1XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,43,The Flash,7.8,6
59,USA,OmariHardwick,LelaLoren,NaturiNaughton,Crime,Drama,,"James ""Ghost"" St. Patrick; a wealthy New York night club owner who has it all; catering to the city's elite and dreaming big; lives a double life as a drug kingpin.",https://m.media-amazon.com/images/M/MV5BYjllZjcwNjItMzc1OC00YjRkLWI5YzUtODM1YmEzNjFiYzNhXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg,50,Power,8.2,6
60,USA,ThomasMiddleditch,JoshBrener,MartinStarr,Comedy,,,Follows the struggle of Richard Hendricks; a Silicon Valley engineer trying to build his own company called Pied Piper.,https://m.media-amazon.com/images/M/MV5BOTcwNzU2MGEtMzUzNC00MzMwLWJhZGItNDY3NDllYjU5YzAyXkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_SX300.jpg,28,Silicon Valley,8.5,6
61,USA,AllisonTolman,BillyBobThornton,ColinHanks,Crime,Drama,Thriller,Various chronicles of deception; intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo; North Dakota.,https://m.media-amazon.com/images/M/MV5BMTg5NTYxNjkyNl5BMl5BanBnXkFtZTgwNzY1Mjg4MTI@._V1_SX300.jpg,53,Fargo,8.9,4
62,USA,LievSchreiber,EddieMarsan,DashMihok,Crime,Drama,,"Ray Donovan; a professional ""fixer"" for the rich and famous in Los Angeles; can make anyone's problems disappear except those created by his own family.",https://m.media-amazon.com/images/M/MV5BYWY1MTE2MmItNzQyNi00YThjLWE4ZDctMDA0ZGE3OWJhYTMzXkEyXkFqcGdeQXVyOTA3MTMyOTk@._V1_SX300.jpg,60,Ray Donovan,8.3,7
63,USA,HarryLennix,JamesSpader,MeganBoone,Crime,Drama,Mystery,A new FBI profiler; Elizabeth Keen; has her entire life uprooted when a mysterious criminal; Raymond Reddington; who has eluded capture for decades; turns himself in and insists on speaking only to her.,https://m.media-amazon.com/images/M/MV5BZDU1OGI3NWItZTliOS00OWYxLTliNDktYTFjODcxNmE1NTNmXkEyXkFqcGdeQXVyODUxOTU0OTg@._V1_SX300.jpg,43,The Blacklist,8,8
64,USA,RobinWright,MichaelKelly,KevinSpacey,Drama,,,A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.,https://m.media-amazon.com/images/M/MV5BODM1MDU2NjY5NF5BMl5BanBnXkFtZTgwMDkxNTcwNjM@._V1_SX300.jpg,51,House of Cards,8.8,6
65,UK,AdeelAkhtar,PaulHiggins,NeilMaskell,Drama,Mystery,Sci-Fi,After a group of people; who meet online; discover a bizarre graphic novel which seems to hold mysterious answers; they find themselves being tracked down by a merciless organization known merely as 'The Network'.,https://m.media-amazon.com/images/M/MV5BMjMwMTA5NDc5M15BMl5BanBnXkFtZTgwMjQ4MTY0MjE@._V1_SX300.jpg,50,Utopia,8.4,2
66,Germany,VolkerBruch,TomSchilling,KatharinaSchÃ¼ttler,Action,Drama,History,Five friends go out to war and promise each other to be back for Christmas.,https://m.media-amazon.com/images/M/MV5BMTYwMzIyMjg5M15BMl5BanBnXkFtZTgwNzM1NjI2MDE@._V1_SX300.jpg,270,Generation War,8.5,1
67,USA,GabrielMacht,RickHoffman,SarahRafferty,Comedy,Drama,,On the run from a drug deal gone bad; brilliant college dropout Mike Ross; finds himself working with Harvey Specter; one of New York City's best lawyers.,https://m.media-amazon.com/images/M/MV5BNmVmMmM5ZmItZDg0OC00NTFiLWIxNzctZjNmYTY5OTU3ZWU3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,44,Suits,8.5,9
